config,n_top,window_i,n_trades,actual_roi,actual_mdd,actual_calmar,actual_ulcer,roi_rank_broken,mdd_rank,calmar_rank,ulcer_rank
commodity,20,9,152,52.55730386232016,212.20704122084862,2.476699338530553,96.39232226755003,68.8,86.10000000000001,86.10000000000001,73.3
commodity,20,10,746,59.169486109998395,980.6833805290225,0.6033495344652403,410.69000074975065,74.3,19.8,19.8,24.8
commodity,20,11,33,38.22737366719001,157.13535750000005,2.4327671553609442,54.61217323942418,14.4,28.3,28.3,47.2
commodity,20,12,48,-45.22238859999988,560.4705272499993,-0.8068647038745771,313.10877501255607,11.700000000000001,2.7,97.30000000000001,10.3
commodity,20,13,30,-18.45552642499993,238.6098999999998,-0.7734602137212221,169.00978315834908,23.900000000000002,52.5,47.5,19.700000000000003
commodity,20,14,53,17.969565200000183,122.59909649999929,1.4657175878943192,45.39770060711599,4.7,89.4,89.4,98.60000000000001
commodity,20,15,39,30.121748625000027,145.67047074999937,2.0678005960930252,50.1943169988259,43.6,18.900000000000002,18.900000000000002,42.1
mixed_30,30,1,249,24.733424695569273,238.6194778937579,1.0365216165036408,153.1144950639008,5.2,43.300000000000004,43.300000000000004,10.100000000000001
mixed_30,30,2,196,56.45866247185136,369.3857431446784,1.5284472538437424,313.9017638500466,13.3,2.4000000000000004,2.4000000000000004,0.0
mixed_30,30,3,278,5.817575356436857,526.4676332413505,0.11050205158139102,482.32217890763224,29.1,2.5,2.5,0.0
mixed_30,30,4,238,-8.897456830697019,213.0034074096476,-0.41771429569600516,123.66818682695177,75.4,70.9,29.1,53.1
mixed_30,30,5,144,-16.87512253024219,684.1863426185503,-0.24664512398269928,609.9768911798548,87.4,0.1,99.9,0.0
mixed_30,30,6,231,23.677574732888647,177.540718559889,1.3336419343656987,61.324094387094846,95.60000000000001,47.7,47.7,74.3
mixed_30,30,7,198,-69.02952700612394,661.3187021426238,-1.0438163442599366,447.9703631617366,9.4,97.10000000000001,2.9000000000000004,34.5
mixed_30,30,8,245,12.59577184216474,416.1837006428451,0.30264933063714594,173.7311596021003,78.60000000000001,16.900000000000002,16.900000000000002,29.3
mixed_30,30,9,470,40.85435300188849,381.44824798423826,1.0710326556166703,197.81490439349082,35.300000000000004,46.800000000000004,46.800000000000004,24.5
mixed_30,30,10,610,99.27971303105552,522.4449021026712,1.9002905881842638,209.02398456834456,3.4000000000000004,28.5,28.5,26.8
mixed_30,30,11,217,16.937000462416222,219.06935328555812,0.7731341791263129,85.10075679608578,96.4,76.60000000000001,76.60000000000001,86.7
mixed_30,30,12,361,19.292320281441118,619.5760275097723,0.3113793856579906,400.3930950583093,50.7,27.8,27.8,6.800000000000001
mixed_30,30,13,274,11.499376041588897,310.3573706604825,0.37052047506127106,75.32126320748925,19.1,25.400000000000002,25.400000000000002,91.9
mixed_30,30,14,358,-6.961527191934342,401.5963900703165,-0.17334635878363924,248.10013105591182,82.80000000000001,42.900000000000006,57.1,20.8
mixed_30,30,15,254,58.44925882735426,110.03924467978436,5.311673939369755,17.764445807108338,53.400000000000006,98.0,98.0,100.0
